iter	RMSE
133	584.186083
134	583.5321946
135	583.0204089
136	581.7997461
137	581.1634808
138	579.4250608
139	578.5425574
140	577.565906
141	576.1584879
142	575.3035817
143	574.9070854
144	574.4014644
145	573.3544577
146	572.5903737
147	572.0975567
148	570.8889216
149	569.8368215
150	568.922298
151	568.1577248
152	566.9469718
153	566.4308402
154	565.3714533
155	564.5367741
156	563.6726106
157	562.8299428
158	562.2457757
159	561.5947919
160	560.7108079
161	560.1514297
162	559.3128894
163	558.61438
164	557.9774427
165	556.7918089
166	555.9920639
167	555.1322717
168	554.1875265
169	553.5840814
170	552.8596004
171	552.2195363
172	551.1905291
173	550.6215059
174	550.0265427
175	549.3733721
176	548.7393948
177	548.1874591
178	547.5339147
179	547.1746432
180	546.4615411
181	545.9898073
182	545.336974
183	544.4366684
184	543.9207325
185	543.0312329
186	542.0525255
187	541.0977997
188	540.4890561
189	539.7118654
190	538.5751265
191	537.9441328
192	537.1833551
193	536.4283294
194	535.9604664
195	535.2503399
196	534.9318799
197	534.3981783
198	534.0214385
199	533.6403278
200	533.0670868
201	532.6647672
202	532.019573
203	531.5340008
204	530.8792405
205	530.280446
206	529.9221921
207	529.0475098
208	528.5887182
209	528.1448526
210	527.6620842
211	526.8768043
212	526.5121335
213	525.7480772
214	525.3650317
215	524.9437841
216	524.5658564
217	524.1500501
218	523.6059814
219	522.9477315
220	522.5562219
221	521.4015459
222	520.9994854
223	520.4800731
224	519.9468232
225	519.5512406
226	518.8149553
227	518.4514845
228	518.0534475
229	517.4126783
230	517.0685028
231	516.5833618
232	516.1801101
233	515.9592747
234	515.5257314
235	514.927405
236	514.3452596
237	513.8480301
238	513.5266089
239	512.7965804
240	512.3730004
241	512.0690342
242	511.7224734
243	510.9677314
244	510.5263639
245	509.9599917
246	509.4968977
247	509.1185339
248	508.79483
249	508.4221126
250	507.8713498
251	507.3030586
252	505.9574189
253	505.634428
254	505.2941862
255	504.807275
256	504.467293
257	503.5947618
258	503.2044041
259	502.5304132
260	502.166977
261	501.9054612
262	501.5062156
263	500.9024462
264	500.5206471
265	500.2200365
266	499.9410287
267	499.4465019
268	499.0744415
269	498.4420048
270	498.013123
271	497.7414511
272	497.4007724
273	496.8295683
274	496.5567101
275	496.1561947
276	495.8067262
277	495.5541106
278	495.0786993
279	494.818994
280	494.6467978
281	494.4368097
282	494.1709582
283	493.6829669
284	493.484643
285	492.9403683
286	492.4280447
287	491.9524923
288	491.6522373
289	491.421072
290	490.9437241
291	490.6381111
292	490.4597004
293	489.7400721
294	489.4553958
295	488.9781762
296	488.2381335
297	487.9679014
298	487.6904342
299	487.4929182
300	487.1354
301	486.2480449
302	485.9207288
303	485.6787836
304	485.3192469
305	484.9785535
306	484.7465071
307	484.41354
308	483.6120064
309	483.1565066
310	482.6484146
311	482.3595735
312	481.7198366
313	481.1035029
314	480.6573684
315	479.988347
316	479.441957
317	479.0526711
318	478.6300067
319	478.2455465
320	478.0194337
321	477.8669153
322	477.6312947
323	477.3616769
324	476.8679376
325	476.5144054
326	476.2891108
327	476.0884321
328	475.8348297
329	475.6063253
330	475.4193234
331	475.0418084
332	474.3516152
333	474.0622385
334	473.8657052
335	473.7083904
336	473.5407385
337	473.1720857
338	472.5573599
339	472.0139862
340	471.5652528
341	471.2973827
342	471.052458
343	470.6944055
344	470.3954583
345	470.1377959
346	469.8104263
347	469.5485486
348	468.6023875
349	468.4564798
350	468.1573697
351	467.9972361
352	467.7829183
353	467.5555798
354	467.3862748
355	467.1562789
356	466.7498429
357	466.4681909
358	466.0683009
359	465.8695728
360	465.6941819
361	465.3883451
362	465.1219789
363	464.9499988
364	464.5418429
365	464.3088259
366	463.9056139
367	463.7001584
368	463.441353
369	462.8311485
370	462.6856024
371	462.4789124
372	462.0897932
373	461.3331876
374	461.1377592
375	460.9342761
376	460.6317387
377	460.2605588
378	459.5727989
379	459.1552213
380	458.9376557
381	458.6650824
382	458.336285
383	458.051723
384	457.8312827
385	457.5209874
386	457.1934329
387	456.970036
388	456.6987747
389	456.5674253
390	456.2043171
391	455.9382825
392	455.6592022
393	455.4699492
394	455.2261641
395	455.039187
396	454.4352816
397	454.1873395
398	453.872896
399	453.6370695
400	453.4922413
401	452.8067954
402	452.2827758
403	452.0337289
404	451.5020269
405	451.3285175
406	451.1797783
407	450.7448549
408	450.5630245
409	450.0896865
410	449.8541865
411	449.7050605
412	449.3105112
413	448.6912389
414	448.3227781
415	448.1318825
416	447.8086971
417	447.568847
418	447.3733167
419	447.083121
420	446.8864516
421	446.7191152
422	446.3899239
423	446.1847446
424	445.9232319
425	445.7975284
426	445.6099395
427	445.3395873
428	445.1569518
429	444.9499087
430	444.7002587
431	444.4166817
432	444.2907587
433	444.0042392
434	443.6993809
435	443.4871633
436	443.0400085
437	442.9220176
438	442.7865136
439	442.6570703
440	442.4823742
441	442.1444943
442	442.0263208
443	441.789576
444	441.6255592
445	441.1066639
446	440.8855598
447	440.7742844
448	440.6001208
449	440.3988015
450	440.1972188
451	440.0927481
452	439.9697598
453	439.7811191
454	439.5369318
455	439.246128
456	439.0704129
457	438.9280487
458	438.7388378
459	438.5447197
460	438.1436732
461	437.8263912
462	437.6138681
463	437.4570957
464	437.28238
465	437.0964058
466	436.9059355
467	436.7292749
468	436.4698851
469	436.3345241
470	436.1491543
471	435.918361
472	435.599352
473	435.2886475
474	435.1100241
475	434.9884395
476	434.8721913
477	434.6596921
478	434.5033669
479	434.3360632
480	433.7917147
481	433.6702041
482	433.4720895
483	433.3082776
484	433.1952583
485	433.0125177
486	432.7321477
487	432.3492047
488	432.0893123
489	431.8895902
490	431.7893285
491	431.4589618
492	431.3240808
493	431.1482989
494	430.9635863
495	430.8314194
496	430.6502573
497	430.4947788
498	430.2554345
499	430.1423894
500	430.0207508
501	429.8595025
502	429.6683129
503	429.5055986
504	429.3156651
505	429.2140777
506	429.0525001
507	428.8921447
508	428.4673932
509	428.3289596
510	428.2140501
511	428.0320487
512	427.9639883
513	427.8810211
514	427.355405
515	427.0109627
516	426.8246644
517	426.4999103
518	426.3000709
519	425.9601599
520	425.8786125
521	425.7871634
522	425.5883515
523	425.2988823
524	425.1615522
525	424.9492917
526	424.3564597
527	424.1917383
528	423.9721087
529	423.7066625
530	423.5592787
531	423.315554
532	423.1685218
533	423.0605761
534	422.7138249
535	422.4925826
536	422.3601555
537	422.2842323
538	422.2194813
539	422.0798502
540	421.9239239
541	421.7667971
542	421.5502084
543	421.4517352
544	421.2802929
545	421.0863213
546	420.9627986
547	420.7954108
548	420.7331771
549	420.5686373
550	420.4465479
551	420.3269179
552	420.0802088
553	419.9193024
554	419.5319584
555	419.4593118
556	419.1727591
557	418.9069792
558	418.6703876
559	418.2771102
560	418.2175553
561	418.0500613
562	417.858325
563	417.7637407
564	417.5935432
565	417.4963358
566	417.3135137
567	417.1077209
568	417.02838
569	416.8888965
570	416.7777193
571	416.6112569
572	416.1520102
573	415.9345771
574	415.8481545
575	415.7601691
576	415.4447521
577	415.3573749
578	415.2507381
579	415.0503914
580	414.9635337
581	414.7318324
582	414.6134363
583	414.4902202
584	414.330264
585	414.1917376
586	414.0344848
587	413.9238541
588	413.8322883
589	413.7087465
590	413.6373594
591	413.5689498
592	413.451154
593	413.1609708
594	412.9851575
595	412.8108956
596	412.7493885
597	412.5242423
598	412.4283287
599	412.3220341
600	412.1021506
601	411.9370371
602	411.8199984
603	411.7053545
604	411.653539
605	411.4731064
606	411.2758013
607	411.0384726
608	410.8812328
609	410.6881362
610	410.4784212
611	410.3344394
612	410.2637967
613	410.081464
614	409.9490826
615	409.8024864
616	409.7301975
617	409.6216245
618	409.5348896
619	409.4740182
620	409.3805314
621	409.1663034
622	408.8060096
623	408.6894398
624	408.4360769
625	408.3179259
626	408.2245859
627	407.910032
628	407.8540508
629	407.8077278
630	407.721491
631	407.6614445
632	407.4500421
633	407.2739915
634	406.9224932
635	406.6847987
636	406.5762039
637	406.4472004
638	406.3354829
639	406.2144656
640	406.1572975
641	406.0028384
642	405.842565
643	405.5941183
644	405.4923661
645	405.4153298
646	405.2663216
647	405.0628522
648	404.9034938
649	404.7978493
650	404.6644436
651	404.4888553
652	404.3075306
653	404.1763824
654	403.7249431
655	403.6092754
656	403.4267506
657	403.0580194
658	402.923062
659	402.8000889
660	402.5597659
661	402.4254479
662	402.2993201
663	402.2080731
664	401.9256388
665	401.7436766
666	401.6647174
667	401.5696739
668	401.5122235
669	401.3242698
670	401.2381254
671	400.7962501
672	400.70971
673	400.5735579
674	400.3712268
675	400.2932663
676	400.221834
677	400.0171961
678	399.846028
679	399.6599583
680	399.4511747
681	399.367007
682	399.2498347
683	399.1633384
684	399.0653376
685	398.9794977
686	398.5837781
687	398.4769479
688	398.3376811
689	398.275832
690	398.1863768
691	398.047812
692	397.8892028
693	397.8019439
694	397.6883781
695	397.3530751
696	397.2195379
697	396.9571559
698	396.8386746
699	396.7015763
700	396.6477011
701	396.5157703
702	396.4256064
703	396.3192112
704	396.1930847
705	396.1081136
706	395.9446721
707	395.8562513
708	395.734135
709	395.6663069
710	395.540628
711	395.4676745
712	395.389253
713	395.3155277
714	395.1551084
715	395.0872584
716	394.9821197
717	394.5399018
718	394.4383947
719	394.3642304
720	394.3091094
721	394.2345879
722	394.0259941
723	393.9709287
724	393.7865438
725	393.6862844
726	393.5588848
727	393.5066354
728	393.3904966
729	393.2111138
730	393.1598412
731	393.0475184
732	392.9853142
733	392.5693356
734	392.5143277
735	392.3980456
736	392.3228107
737	392.2265416
738	391.9210964
739	391.8129715
740	391.7141116
741	391.6699651
742	391.5358066
743	391.1955062
744	391.1179103
745	391.0170379
746	390.8082957
747	390.7179629
748	390.5824606
749	390.4779245
750	390.361557
751	390.3120749
752	390.2326966
753	390.0884072
754	389.9971021
755	389.9192456
756	389.7800049
757	389.6086642
758	389.4037022
759	389.1838201
760	389.0407649
761	388.9213739
762	388.8357396
763	388.6107524
764	388.5344899
765	388.4555605
766	388.3405059
767	388.2607549
768	388.1575748
769	388.0232521
770	387.8242233
771	387.7426628
772	387.632792
773	387.3760445
774	387.3358808
775	387.2599363
776	387.1794066
777	387.0256349
778	386.94482
779	386.8416822
780	386.6962516
781	386.6155306
782	386.5368816
783	386.4562598
784	386.3858078
785	386.2612294
786	386.1683838
787	386.0752438
788	385.9638797
789	385.840807
790	385.6482394
791	385.5892493
792	385.2538762
793	385.1670698
794	385.0946814
795	385.0202022
796	384.8914261
797	384.7743752
798	384.7039446
799	384.6101671
800	384.5329369
801	384.3843667
802	384.1192784
803	384.0186675
804	383.8894095
805	383.832371
806	383.7686376
807	383.6706634
808	383.5974531
809	383.4908807
810	383.359314
811	383.20767
812	383.1459466
813	383.043399
814	382.943734
815	382.8486322
816	382.6234892
817	382.5561506
818	382.4211674
819	382.3303872
820	382.0595206
821	381.9828477
822	381.8948366
823	381.7686312
824	381.63417
825	381.5531605
826	381.4838412
827	381.4292149
828	381.3060747
829	381.2154768
830	381.1116033
831	380.9493829
832	380.8494649
833	380.8033144
834	380.7480368
835	380.6493898
836	380.4982488
837	380.4288487
838	380.388355
839	380.3201511
840	380.2300765
841	380.1129772
842	380.0498132
843	379.8875023
844	379.7960361
845	379.6685093
846	379.553288
847	379.3558943
848	379.244298
849	379.1802823
850	379.0961672
851	379.0212894
852	378.9440721
853	378.8156787
854	378.7488517
855	378.6692599
856	378.5959439
857	378.5166207
858	378.4446456
859	378.3809969
860	378.2684406
861	378.1518397
862	378.0945668
863	378.0291304
864	377.9658261
865	377.7754966
866	377.4820736
867	377.3867159
868	377.3214884
869	377.2415914
870	377.1866583
871	376.9910262
872	376.8901643
873	376.7744919
874	376.7085082
875	376.6557281
876	376.5101933
877	376.3800094
878	376.1786076
879	376.1170481
880	376.073871
881	376.031201
882	375.8680363
883	375.7443056
884	375.5523868
885	375.4903705
886	375.2877396
887	375.2131606
888	375.1128331
889	375.0285097
890	374.9319224
891	374.8934568
892	374.7864655
893	374.5980714
894	374.5131628
895	374.4231366
896	374.3547094
897	374.3268993
898	374.2305569
899	374.081591
900	374.0463064
901	373.9266171
902	373.8754923
903	373.8234325
904	373.7544367
905	373.6531508
906	373.5760273
907	373.5275604
908	373.3507995
909	373.2668652
910	373.1346862
911	373.0039324
912	372.9195206
913	372.7795342
914	372.6360709
915	372.5257306
916	372.4408397
917	372.3682411
918	372.287459
919	372.2396931
920	372.1490337
921	372.060866
922	371.9618402
923	371.8892369
924	371.7607709
925	371.6659086
926	371.4661932
927	371.3732744
928	371.3052585
929	371.2522777
930	371.1497561
931	370.8100493
932	370.754719
933	370.6500997
934	370.5263325
935	370.4363762
936	370.3828694
937	370.3296606
938	370.2012898
939	370.1192662
940	370.0112216
941	369.9595969
942	369.8805621
943	369.8244191
944	369.7637924
945	369.7088303
946	369.6458038
947	369.6002201
948	369.4807967
949	369.3975465
950	369.3161759
951	369.2414497
952	369.209092
953	369.1396785
954	368.8584881
955	368.743019
956	368.6824594
957	368.6254486
958	368.2798029
959	368.1541805
960	368.079225
961	367.9980054
962	367.9631468
963	367.892789
964	367.6064518
965	367.3139031
966	367.2598815
967	367.0222742
968	366.9721098
969	366.9077606
970	366.8527779
971	366.7852234
972	366.6505609
973	366.4945523
974	366.2833428
975	366.2315627
976	366.1014292
977	366.0442579
978	365.9636848
979	365.8776533
980	365.8210112
981	365.7622303
982	365.6495012
983	365.5505512
984	365.3874653
985	365.2884046
986	365.2213247
987	365.1251833
988	364.9024518
989	364.8477455
990	364.7632488
991	364.7081448
992	364.6604633
993	364.5595544
994	364.4681404
995	364.2388401
996	364.1833887
997	364.0940461
998	364.0163107
999	363.9613508
.0235899
999	362.9390111
