iter	RMSE
0	2288.348701
1	2155.735695
2	2039.04872533	1935.61458944	1840.45030355	1760.29189166	1681.86373977	1618.60299888	1556.90286899	1502.113284
10	1437.810171111	1381.228426112	1337.367565113	1291.898268114	1260.425609
15	1228.229321
16	1202.19854
17	1180.458448
18	1145.765972
19	1125.178227
20	1107.625015
21	1079.701546
22	1052.539434
23	1028.92006
24	1009.136128
25	993.7435325
26	974.987166
27	960.139216
28	947.4765782
29	931.6117947
30	923.2018528
31	911.4509819
32	900.348176
33	890.9533714
34	878.4490037
35	870.0651917
36	858.6435382
37	851.1131048
38	843.9249414
39	837.535308
40	828.2417861
41	822.5739927
42	814.0587985
43	809.1369241
44	804.1576405
45	795.5201412
46	789.5256222
47	785.643465
48	781.4084485
49	775.7197319
50	770.6118728
51	765.3375657
52	761.2995837
53	756.5236864
54	751.8630567
55	743.8891685
56	739.7541808
57	735.17215
58	733.0315075
59	727.1456989
60	723.7037863
61	719.0767152
62	713.6453344
63	709.5189548
64	707.0889022
65	703.4897206
66	699.7543991
67	697.7503973
68	695.5661008
69	693.2702674
70	690.9121227
71	688.326746
72	684.470662
73	682.0554036
74	678.6935291
75	676.5662373
76	674.3102971
77	672.1951463
78	670.5025559
79	668.1263213
80	666.0778387
81	664.5457944
82	662.2568754
83	660.7025718
84	658.6308966
85	656.9194748
86	655.61075
87	653.9906882
88	651.6821779
89	648.1327798
90	645.9477135
91	644.0022305
92	642.2941778
93	640.6086199
94	638.5745362
95	636.8661837
96	634.5964124
97	631.7643075
98	630.5872227
99	629.1513829
100	627.5668711
101	626.3251554
102	624.4590281
103	623.7101993
104	622.2387949
105	621.2288451
106	618.4016208
107	616.6500618
108	615.465281
109	613.5595101
110	612.5702796
111	611.3927931
112	609.8884459
113	608.7153479
114	607.2749593
115	606.0067825
116	604.7818534
117	603.9316025
118	602.9241836
119	601.6788224
120	600.5894502
121	599.150246
122	597.1082898
123	596.2775211
124	595.1131368
125	594.3443659
126	593.2988303
127	592.1022335
128	590.8058342
129	589.1393414
130	587.1321848
131	586.3110929
132	585.0591062
